Ecclesiastes 7:3	Sorrow [is] better than laughter: for by the sadness of the countenance the heart is made better.
Isaiah 1:18	Come now, and let us reason together, saith the LORD: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool.
Isaiah 1:19	If ye be willing and obedient, ye shall eat the good of the land:
Isaiah 1:20	But if ye refuse and rebel, ye shall be devoured with the sword: for the mouth of the LORD hath spoken [it].
Isaiah 1:21	How is the faithful city become an harlot! it was full of judgment; righteousness lodged in it; but now murderers.
Isaiah 1:22	Thy silver is become dross, thy wine mixed with water:
Isaiah 1:23	Thy princes [are] rebellious, and companions of thieves: every one loveth gifts, and followeth after rewards: they judge not the fatherless, neither doth the cause of the widow come unto them.
Isaiah 1:24	Therefore saith the Lord, the LORD of hosts, the mighty One of Israel, Ah, I will ease me of mine adversaries, and avenge me of mine enemies:
Isaiah 1:25	And I will turn my hand upon thee, and purely purge away thy dross, and take away all thy tin:
Isaiah 1:26	And I will restore thy judges as at the first, and thy counsellers as at the beginning: afterward thou shalt be called, The city of righteousness, the faithful city.
Isaiah 1:27	Zion shall be redeemed with judgment, and her converts with righteousness.
Isaiah 1:28	And the destruction of the transgressors and of the sinners [shall be] together, and they that forsake the LORD shall be consumed.
Isaiah 1:29	For they shall be ashamed of the oaks which ye have desired, and ye shall be confounded for the gardens that ye have chosen.
Isaiah 1:30	For ye shall be as an oak whose leaf fadeth, and as a garden that hath no water.
Isaiah 1:31	And the strong shall be as tow, and the maker of it as a spark, and they shall both burn together, and none shall quench [them].
Isaiah 2:1	The word that Isaiah the son of Amoz saw concerning Judah and Jerusalem.
Isaiah 2:2	And it shall come to pass in the last days, [that] the mountain of the LORD’S house shall be established in the top of the mountains, and shall be exalted above the hills; and all nations shall flow unto it.
Isaiah 2:3	And many people shall go and say, Come ye, and let us go up to the mountain of the LORD, to the house of the God of Jacob; and he will teach us of his ways, and we will walk in his paths: for out of Zion shall go forth the law, and the word of the LORD from Jerusalem.
Isaiah 2:4	And he shall judge among the nations, and shall rebuke many people: and they shall beat their swords into plowshares, and their spears into pruninghooks: nation shall not lift up sword against nation, neither shall they learn war any more.
Isaiah 2:5	O house of Jacob, come ye, and let us walk in the light of the LORD.
Isaiah 2:6	Therefore thou hast forsaken thy people the house of Jacob, because they be replenished from the east, and [are] soothsayers like the Philistines, and they please themselves in the children of strangers.
Isaiah 2:7	Their land also is full of silver and gold, neither [is there any] end of their treasures; their land is also full of horses, neither [is there any] end of their chariots:
Isaiah 2:8	Their land also is full of idols; they worship the work of their own hands, that which their own fingers have made:
Isaiah 2:9	And the mean man boweth down, and the great man humbleth himself: therefore forgive them not.
Isaiah 2:10	Enter into the rock, and hide thee in the dust, for fear of the LORD, and for the glory of his majesty.
Isaiah 2:11	The lofty looks of man shall be humbled, and the haughtiness of men shall be bowed down, and the LORD alone shall be exalted in that day.
Isaiah 2:12	For the day of the LORD of hosts [shall be] upon every [one that is] proud and lofty, and upon every [one that is] lifted up; and he shall be brought low:
Isaiah 2:13	And upon all the cedars of Lebanon, [that are] high and lifted up, and upon all the oaks of Bashan,
Isaiah 2:14	And upon all the high mountains, and upon all the hills [that are] lifted up,
Isaiah 2:15	And upon every high tower, and upon every fenced wall,
Isaiah 2:16	And upon all the ships of Tarshish, and upon all pleasant pictures.
Isaiah 2:17	And the loftiness of man shall be bowed down, and the haughtiness of men shall be made low: and the LORD alone shall be exalted in that day.
Isaiah 2:18	And the idols he shall utterly abolish.
Isaiah 2:19	And they shall go into the holes of the rocks, and into the caves of the earth, for fear of the LORD, and for the glory of his majesty, when he ariseth to shake terribly the earth.
Isaiah 2:20	In that day a man shall cast his idols of silver, and his idols of gold, which they made [each one] for himself to worship, to the moles and to the bats;
Isaiah 2:21	To go into the clefts of the rocks, and into the tops of the ragged rocks, for fear of the LORD, and for the glory of his majesty, when he ariseth to shake terribly the earth.
Isaiah 2:22	Cease ye from man, whose breath [is] in his nostrils: for wherein is he to be accounted of?
Isaiah 3:1	For, behold, the Lord, the LORD of hosts, doth take away from Jerusalem and from Judah the stay and the staff, the whole stay of bread, and the whole stay of water,
Isaiah 3:2	The mighty man, and the man of war, the judge, and the prophet, and the prudent, and the ancient,
Isaiah 3:3	The captain of fifty, and the honourable man, and the counseller, and the cunning artificer, and the eloquent orator.
Isaiah 3:4	And I will give children [to be] their princes, and babes shall rule over them.
Isaiah 3:5	And the people shall be oppressed, every one by another, and every one by his neighbour: the child shall behave himself proudly against the ancient, and the base against the honourable.
Isaiah 3:6	When a man shall take hold of his brother of the house of his father, [saying], Thou hast clothing, be thou our ruler, and [let] this ruin [be] under thy hand:
Isaiah 3:7	In that day shall he swear, saying, I will not be an healer; for in my house [is] neither bread nor clothing: make me not a ruler of the people.
Isaiah 3:8	For Jerusalem is ruined, and Judah is fallen: because their tongue and their doings [are] against the LORD, to provoke the eyes of his glory.
Isaiah 3:9	The shew of their countenance doth witness against them; and they declare their sin as Sodom, they hide [it] not. Woe unto their soul! for they have rewarded evil unto themselves.
Isaiah 3:10	Say ye to the righteous, that [it shall be] well [with him]: for they shall eat the fruit of their doings.
Isaiah 3:11	Woe unto the wicked! [it shall be] ill [with him]: for the reward of his hands shall be given him.
Isaiah 3:12	[As for] my people, children [are] their oppressors, and women rule over them. O my people, they which lead thee cause [thee] to err, and destroy the way of thy paths.
Isaiah 3:13	The LORD standeth up to plead, and standeth to judge the people.
Isaiah 3:14	The LORD will enter into judgment with the ancients of his people, and the princes thereof: for ye have eaten up the vineyard; the spoil of the poor [is] in your houses.
Isaiah 3:15	What mean ye [that] ye beat my people to pieces, and grind the faces of the poor? saith the Lord GOD of hosts.
Isaiah 3:16	Moreover the LORD saith, Because the daughters of Zion are haughty, and walk with stretched forth necks and wanton eyes, walking and mincing [as] they go, and making a tinkling with their feet:
Isaiah 3:17	Therefore the Lord will smite with a scab the crown of the head of the daughters of Zion, and the LORD will discover their secret parts.
Isaiah 3:18	In that day the Lord will take away the bravery of [their] tinkling ornaments [about their feet], and [their] cauls, and [their] round tires like the moon,
Isaiah 3:19	The chains, and the bracelets, and the mufflers,
Isaiah 3:20	The bonnets, and the ornaments of the legs, and the headbands, and the tablets, and the earrings,
Isaiah 3:21	The rings, and nose jewels,
Isaiah 3:22	The changeable suits of apparel, and the mantles, and the wimples, and the crisping pins,
Isaiah 3:23	The glasses, and the fine linen, and the hoods, and the vails.
Isaiah 3:24	And it shall come to pass, [that] instead of sweet smell there shall be stink; and instead of a girdle a rent; and instead of well set hair baldness; and instead of a stomacher a girding of sackcloth; [and] burning instead of beauty.
Isaiah 3:25	Thy men shall fall by the sword, and thy mighty in the war.
Isaiah 3:26	And her gates shall lament and mourn; and she [being] desolate shall sit upon the ground.
Isaiah 4:1	And in that day seven women shall take hold of one man, saying, We will eat our own bread, and wear our own apparel: only let us be called by thy name, to take away our reproach.
Isaiah 4:2	In that day shall the branch of the LORD be beautiful and glorious, and the fruit of the earth [shall be] excellent and comely for them that are escaped of Israel.
Isaiah 4:3	And it shall come to pass, [that he that is] left in Zion, and [he that] remaineth in Jerusalem, shall be called holy, [even] every one that is written among the living in Jerusalem:
Isaiah 4:4	When the Lord shall have washed away the filth of the daughters of Zion, and shall have purged the blood of Jerusalem from the midst thereof by the spirit of judgment, and by the spirit of burning.
Isaiah 4:5	And the LORD will create upon every dwelling place of mount Zion, and upon her assemblies, a cloud and smoke by day, and the shining of a flaming fire by night: for upon all the glory [shall be] a defence.
Isaiah 4:6	And there shall be a tabernacle for a shadow in the daytime from the heat, and for a place of refuge, and for a covert from storm and from rain.
Isaiah 5:1	Now will I sing to my wellbeloved a song of my beloved touching his vineyard. My wellbeloved hath a vineyard in a very fruitful hill:
Isaiah 5:2	And he fenced it, and gathered out the stones thereof, and planted it with the choicest vine, and built a tower in the midst of it, and also made a winepress therein: and he looked that it should bring forth grapes, and it brought forth wild grapes.
Isaiah 5:3	And now, O inhabitants of Jerusalem, and men of Judah, judge, I pray you, betwixt me and my vineyard.
Isaiah 5:4	What could have been done more to my vineyard, that I have not done in it? wherefore, when I looked that it should bring forth grapes, brought it forth wild grapes?
Isaiah 5:5	And now go to; I will tell you what I will do to my vineyard: I will take away the hedge thereof, and it shall be eaten up; [and] break down the wall thereof, and it shall be trodden down:
Isaiah 5:6	And I will lay it waste: it shall not be pruned, nor digged; but there shall come up briers and thorns: I will also command the clouds that they rain no rain upon it.
Isaiah 5:7	For the vineyard of the LORD of hosts [is] the house of Israel, and the men of Judah his pleasant plant: and he looked for judgment, but behold oppression; for righteousness, but behold a cry.
Isaiah 5:8	Woe unto them that join house to house, [that] lay field to field, till [there be] no place, that they may be placed alone in the midst of the earth!
Isaiah 5:9	In mine ears [said] the LORD of hosts, Of a truth many houses shall be desolate, [even] great and fair, without inhabitant.
Isaiah 5:10	Yea, ten acres of vineyard shall yield one bath, and the seed of an homer shall yield an ephah.
Isaiah 5:11	Woe unto them that rise up early in the morning, [that] they may follow strong drink; that continue until night, [till] wine inflame them!
Isaiah 5:12	And the harp, and the viol, the tabret, and pipe, and wine, are in their feasts: but they regard not the work of the LORD, neither consider the operation of his hands.
Isaiah 5:13	Therefore my people are gone into captivity, because [they have] no knowledge: and their honourable men [are] famished, and their multitude dried up with thirst.
Isaiah 5:14	Therefore hell hath enlarged herself, and opened her mouth without measure: and their glory, and their multitude, and their pomp, and he that rejoiceth, shall descend into it.
Isaiah 5:15	And the mean man shall be brought down, and the mighty man shall be humbled, and the eyes of the lofty shall be humbled:
Isaiah 5:16	But the LORD of hosts shall be exalted in judgment, and God that is holy shall be sanctified in righteousness.
Isaiah 5:17	Then shall the lambs feed after their manner, and the waste places of the fat ones shall strangers eat.
Isaiah 5:18	Woe unto them that draw iniquity with cords of vanity, and sin as it were with a cart rope:
Isaiah 5:19	That say, Let him make speed, [and] hasten his work, that we may see [it]: and let the counsel of the Holy One of Israel draw nigh and come, that we may know [it]!
Isaiah 5:20	Woe unto them that call evil good, and good evil; that put darkness for light, and light for darkness; that put bitter for sweet, and sweet for bitter!
Isaiah 5:21	Woe unto [them that are] wise in their own eyes, and prudent in their own sight!
Isaiah 5:22	Woe unto [them that are] mighty to drink wine, and men of strength to mingle strong drink:
Isaiah 5:23	Which justify the wicked for reward, and take away the righteousness of the righteous from him!
Isaiah 5:24	Therefore as the fire devoureth the stubble, and the flame consumeth the chaff, [so] their root shall be as rottenness, and their blossom shall go up as dust: because they have cast away the law of the LORD of hosts, and despised the word of the Holy One of Israel.
Isaiah 5:25	Therefore is the anger of the LORD kindled against his people, and he hath stretched forth his hand against them, and hath smitten them: and the hills did tremble, and their carcases [were] torn in the midst of the streets. For all this his anger is not turned away, but his hand [is] stretched out still.
Isaiah 5:26	And he will lift up an ensign to the nations from far, and will hiss unto them from the end of the earth: and, behold, they shall come with speed swiftly:
Isaiah 5:27	None shall be weary nor stumble among them; none shall slumber nor sleep; neither shall the girdle of their loins be loosed, nor the latchet of their shoes be broken:
Isaiah 5:28	Whose arrows [are] sharp, and all their bows bent, their horses’ hoofs shall be counted like flint, and their wheels like a whirlwind:
Isaiah 5:29	Their roaring [shall be] like a lion, they shall roar like young lions: yea, they shall roar, and lay hold of the prey, and shall carry [it] away safe, and none shall deliver [it].
Isaiah 5:30	And in that day they shall roar against them like the roaring of the sea: and if [one] look unto the land, behold darkness [and] sorrow, and the light is darkened in the heavens thereof.
Isaiah 6:1	In the year that king Uzziah died I saw also the Lord sitting upon a throne, high and lifted up, and his train filled the temple.
Isaiah 6:2	Above it stood the seraphims: each one had six wings; with twain he covered his face, and with twain he covered his feet, and with twain he did fly.
Isaiah 6:3	And one cried unto another, and said, Holy, holy, holy, [is] the LORD of hosts: the whole earth [is] full of his glory.
Isaiah 6:4	And the posts of the door moved at the voice of him that cried, and the house was filled with smoke.
Isaiah 6:5	Then said I, Woe [is] me! for I am undone; because I [am] a man of unclean lips, and I dwell in the midst of a people of unclean lips: for mine eyes have seen the King, the LORD of hosts.
Isaiah 6:6	Then flew one of the seraphims unto me, having a live coal in his hand, [which] he had taken with the tongs from off the altar:
Isaiah 6:7	And he laid [it] upon my mouth, and said, Lo, this hath touched thy lips; and thine iniquity is taken away, and thy sin purged.
Isaiah 6:8	Also I heard the voice of the Lord, saying, Whom shall I send, and who will go for us? Then said I, Here [am] I; send me.
Isaiah 6:9	And he said, Go, and tell this people, Hear ye indeed, but understand not; and see ye indeed, but perceive not.
Isaiah 6:10	Make the heart of this people fat, and make their ears heavy, and shut their eyes; lest they see with their eyes, and hear with their ears, and understand with their heart, and convert, and be healed.
Isaiah 6:11	Then said I, Lord, how long? And he answered, Until the cities be wasted without inhabitant, and the houses without man, and the land be utterly desolate,
Isaiah 6:12	And the LORD have removed men far away, and [there be] a great forsaking in the midst of the land.
Isaiah 6:13	But yet in it [shall be] a tenth, and [it] shall return, and shall be eaten: as a teil tree, and as an oak, whose substance [is] in them, when they cast [their leaves: so] the holy seed [shall be] the substance thereof.
Isaiah 7:1	And it came to pass in the days of Ahaz the son of Jotham, the son of Uzziah, king of Judah, [that] Rezin the king of Syria, and Pekah the son of Remaliah, king of Israel, went up toward Jerusalem to war against it, but could not prevail against it.
Isaiah 7:2	And it was told the house of David, saying, Syria is confederate with Ephraim. And his heart was moved, and the heart of his people, as the trees of the wood are moved with the wind.
Isaiah 7:3	Then said the LORD unto Isaiah, Go forth now to meet Ahaz, thou, and Shearjashub thy son, at the end of the conduit of the upper pool in the highway of the fuller’s field;
Isaiah 7:4	And say unto him, Take heed, and be quiet; fear not, neither be fainthearted for the two tails of these smoking firebrands, for the fierce anger of Rezin with Syria, and of the son of Remaliah.
Isaiah 7:5	Because Syria, Ephraim, and the son of Remaliah, have taken evil counsel against thee, saying,
Isaiah 7:6	Let us go up against Judah, and vex it, and let us make a breach therein for us, and set a king in the midst of it, [even] the son of Tabeal:
Isaiah 7:7	Thus saith the Lord GOD, It shall not stand, neither shall it come to pass.
Isaiah 7:8	For the head of Syria [is] Damascus, and the head of Damascus [is] Rezin; and within threescore and five years shall Ephraim be broken, that it be not a people.
Isaiah 7:9	And the head of Ephraim [is] Samaria, and the head of Samaria [is] Remaliah’s son. If ye will not believe, surely ye shall not be established.
Isaiah 7:10	Moreover the LORD spake again unto Ahaz, saying,
Isaiah 7:11	Ask thee a sign of the LORD thy God; ask it either in the depth, or in the height above.
Isaiah 7:12	But Ahaz said, I will not ask, neither will I tempt the LORD.
Isaiah 7:13	And he said, Hear ye now, O house of David; [Is it] a small thing for you to weary men, but will ye weary my God also?
Isaiah 7:14	Therefore the Lord himself shall give you a sign; Behold, a virgin shall conceive, and bear a son, and shall call his name Immanuel.
Isaiah 7:15	Butter and honey shall he eat, that he may know to refuse the evil, and choose the good.
Isaiah 7:16	For before the child shall know to refuse the evil, and choose the good, the land that thou abhorrest shall be forsaken of both her kings.
Isaiah 7:17	The LORD shall bring upon thee, and upon thy people, and upon thy father’s house, days that have not come, from the day that Ephraim departed from Judah; [even] the king of Assyria.
Isaiah 7:18	And it shall come to pass in that day, [that] the LORD shall hiss for the fly that [is] in the uttermost part of the rivers of Egypt, and for the bee that [is] in the land of Assyria.
Isaiah 7:19	And they shall come, and shall rest all of them in the desolate valleys, and in the holes of the rocks, and upon all thorns, and upon all bushes.
Isaiah 7:20	In the same day shall the Lord shave with a rasor that is hired, [namely], by them beyond the river, by the king of Assyria, the head, and the hair of the feet: and it shall also consume the beard.
Isaiah 7:21	And it shall come to pass in that day, [that] a man shall nourish a young cow, and two sheep;
Isaiah 7:22	And it shall come to pass, for the abundance of milk [that] they shall give he shall eat butter: for butter and honey shall every one eat that is left in the land.
Isaiah 7:23	And it shall come to pass in that day, [that] every place shall be, where there were a thousand vines at a thousand silverlings, it shall [even] be for briers and thorns.
Isaiah 7:24	With arrows and with bows shall [men] come thither; because all the land shall become briers and thorns.
Isaiah 7:25	And [on] all hills that shall be digged with the mattock, there shall not come thither the fear of briers and thorns: but it shall be for the sending forth of oxen, and for the treading of lesser cattle.
Isaiah 8:1	Moreover the LORD said unto me, Take thee a great roll, and write in it with a man’s pen concerning Mahershalalhashbaz.
Isaiah 8:2	And I took unto me faithful witnesses to record, Uriah the priest, and Zechariah the son of Jeberechiah.
Isaiah 8:3	And I went unto the prophetess; and she conceived, and bare a son. Then said the LORD to me, Call his name Mahershalalhashbaz.
Isaiah 8:4	For before the child shall have knowledge to cry, My father, and my mother, the riches of Damascus and the spoil of Samaria shall be taken away before the king of Assyria.
Isaiah 8:5	The LORD spake also unto me again, saying,
Isaiah 8:6	Forasmuch as this people refuseth the waters of Shiloah that go softly, and rejoice in Rezin and Remaliah’s son;
Isaiah 8:7	Now therefore, behold, the Lord bringeth up upon them the waters of the river, strong and many, [even] the king of Assyria, and all his glory: and he shall come up over all his channels, and go over all his banks:
Isaiah 8:8	And he shall pass through Judah; he shall overflow and go over, he shall reach [even] to the neck; and the stretching out of his wings shall fill the breadth of thy land, O Immanuel.
Isaiah 8:9	Associate yourselves, O ye people, and ye shall be broken in pieces; and give ear, all ye of far countries: gird yourselves, and ye shall be broken in pieces; gird yourselves, and ye shall be broken in pieces.
Isaiah 8:10	Take counsel together, and it shall come to nought; speak the word, and it shall not stand: for God [is] with us.
Isaiah 8:11	For the LORD spake thus to me with a strong hand, and instructed me that I should not walk in the way of this people, saying,
Isaiah 8:12	Say ye not, A confederacy, to all [them to] whom this people shall say, A confederacy; neither fear ye their fear, nor be afraid.
Isaiah 8:13	Sanctify the LORD of hosts himself; and [let] him [be] your fear, and [let] him [be] your dread.
Isaiah 8:14	And he shall be for a sanctuary; but for a stone of stumbling and for a rock of offence to both the houses of Israel, for a gin and for a snare to the inhabitants of Jerusalem.
Isaiah 8:15	And many among them shall stumble, and fall, and be broken, and be snared, and be taken.
Isaiah 8:16	Bind up the testimony, seal the law among my disciples.
Isaiah 8:17	And I will wait upon the LORD, that hideth his face from the house of Jacob, and I will look for him.
Isaiah 8:18	Behold, I and the children whom the LORD hath given me [are] for signs and for wonders in Israel from the LORD of hosts, which dwelleth in mount Zion.
Isaiah 8:19	And when they shall say unto you, Seek unto them that have familiar spirits, and unto wizards that peep, and that mutter: should not a people seek unto their God? for the living to the dead?
Isaiah 8:20	To the law and to the testimony: if they speak not according to this word, [it is] because [there is] no light in them.
Isaiah 8:21	And they shall pass through it, hardly bestead and hungry: and it shall come to pass, that when they shall be hungry, they shall fret themselves, and curse their king and their God, and look upward.
Isaiah 8:22	And they shall look unto the earth; and behold trouble and darkness, dimness of anguish; and [they shall be] driven to darkness.
Isaiah 9:1	Nevertheless the dimness [shall] not [be] such as [was] in her vexation, when at the first he lightly afflicted the land of Zebulun and the land of Naphtali, and afterward did more grievously afflict [her by] the way of the sea, beyond Jordan, in Galilee of the nations.
Isaiah 9:2	The people that walked in darkness have seen a great light: they that dwell in the land of the shadow of death, upon them hath the light shined.
Isaiah 9:3	Thou hast multiplied the nation, [and] not increased the joy: they joy before thee according to the joy in harvest, [and] as [men] rejoice when they divide the spoil.
Isaiah 9:4	For thou hast broken the yoke of his burden, and the staff of his shoulder, the rod of his oppressor, as in the day of Midian.
Isaiah 9:5	For every battle of the warrior [is] with confused noise, and garments rolled in blood; but [this] shall be with burning [and] fuel of fire.
Isaiah 9:6	For unto us a child is born, unto us a son is given: and the government shall be upon his shoulder: and his name shall be called Wonderful, Counseller, The mighty God, The everlasting Father, The Prince of Peace.
Isaiah 9:7	Of the increase of [his] government and peace [there shall be] no end, upon the throne of David, and upon his kingdom, to order it, and to establish it with judgment and with justice from henceforth even for ever. The zeal of the LORD of hosts will perform this.
Isaiah 9:8	The Lord sent a word into Jacob, and it hath lighted upon Israel.
Isaiah 9:9	And all the people shall know, [even] Ephraim and the inhabitant of Samaria, that say in the pride and stoutness of heart,
Isaiah 9:10	The bricks are fallen down, but we will build with hewn stones: the sycomores are cut down, but we will change [them into] cedars.
Isaiah 9:11	Therefore the LORD shall set up the adversaries of Rezin against him, and join his enemies together;
Isaiah 9:12	The Syrians before, and the Philistines behind; and they shall devour Israel with open mouth. For all this his anger is not turned away, but his hand [is] stretched out still.
Isaiah 9:13	For the people turneth not unto him that smiteth them, neither do they seek the LORD of hosts.
Isaiah 9:14	Therefore the LORD will cut off from Israel head and tail, branch and rush, in one day.
Isaiah 9:15	The ancient and honourable, he [is] the head; and the prophet that teacheth lies, he [is] the tail.
Isaiah 9:16	For the leaders of this people cause [them] to err; and [they that are] led of them [are] destroyed.
Isaiah 9:17	Therefore the Lord shall have no joy in their young men, neither shall have mercy on their fatherless and widows: for every one [is] an hypocrite and an evildoer, and every mouth speaketh folly. For all this his anger is not turned away, but his hand [is] stretched out still.
Isaiah 9:18	For wickedness burneth as the fire: it shall devour the briers and thorns, and shall kindle in the thickets of the forest, and they shall mount up [like] the lifting up of smoke.
Isaiah 9:19	Through the wrath of the LORD of hosts is the land darkened, and the people shall be as the fuel of the fire: no man shall spare his brother.
Isaiah 9:20	And he shall snatch on the right hand, and be hungry; and he shall eat on the left hand, and they shall not be satisfied: they shall eat every man the flesh of his own arm:
Isaiah 9:21	Manasseh, Ephraim; and Ephraim, Manasseh: [and] they together [shall be] against Judah. For all this his anger is not turned away, but his hand [is] stretched out still.
Isaiah 10:1	Woe unto them that decree unrighteous decrees, and that write grievousness [which] they have prescribed;
Isaiah 10:2	To turn aside the needy from judgment, and to take away the right from the poor of my people, that widows may be their prey, and [that] they may rob the fatherless!
Isaiah 10:3	And what will ye do in the day of visitation, and in the desolation [which] shall come from far? to whom will ye flee for help? and where will ye leave your glory?
Isaiah 10:4	Without me they shall bow down under the prisoners, and they shall fall under the slain. For all this his anger is not turned away, but his hand [is] stretched out still.
Isaiah 10:5	O Assyrian, the rod of mine anger, and the staff in their hand is mine indignation.
Isaiah 10:6	I will send him against an hypocritical nation, and against the people of my wrath will I give him a charge, to take the spoil, and to take the prey, and to tread them down like the mire of the streets.
Isaiah 10:7	Howbeit he meaneth not so, neither doth his heart think so; but [it is] in his heart to destroy and cut off nations not a few.
Isaiah 10:8	For he saith, [Are] not my princes altogether kings?
Isaiah 10:9	[Is] not Calno as Carchemish? [is] not Hamath as Arpad? [is] not Samaria as Damascus?
Isaiah 10:10	As my hand hath found the kingdoms of the idols, and whose graven images did excel them of Jerusalem and of Samaria;
Isaiah 10:11	Shall I not, as I have done unto Samaria and her idols, so do to Jerusalem and her idols?
Isaiah 10:12	Wherefore it shall come to pass, [that] when the Lord hath performed his whole work upon mount Zion and on Jerusalem, I will punish the fruit of the stout heart of the king of Assyria, and the glory of his high looks.
Isaiah 10:13	For he saith, By the strength of my hand I have done [it], and by my wisdom; for I am prudent: and I have removed the bounds of the people, and have robbed their treasures, and I have put down the inhabitants like a valiant [man]:
Isaiah 10:14	And my hand hath found as a nest the riches of the people: and as one gathereth eggs [that are] left, have I gathered all the earth; and there was none that moved the wing, or opened the mouth, or peeped.
Isaiah 10:15	Shall the axe boast itself against him that heweth therewith? [or] shall the saw magnify itself against him that shaketh it? as if the rod should shake [itself] against them that lift it up, [or] as if the staff should lift up [itself, as if it were] no wood.
Isaiah 10:16	Therefore shall the Lord, the Lord of hosts, send among his fat ones leanness; and under his glory he shall kindle a burning like the burning of a fire.
Isaiah 10:17	And the light of Israel shall be for a fire, and his Holy One for a flame: and it shall burn and devour his thorns and his briers in one day;
Isaiah 10:18	And shall consume the glory of his forest, and of his fruitful field, both soul and body: and they shall be as when a standardbearer fainteth.
Isaiah 10:19	And the rest of the trees of his forest shall be few, that a child may write them.
Isaiah 10:20	And it shall come to pass in that day, [that] the remnant of Israel, and such as are escaped of the house of Jacob, shall no more again stay upon him that smote them; but shall stay upon the LORD, the Holy One of Israel, in truth.
Isaiah 10:21	The remnant shall return, [even] the remnant of Jacob, unto the mighty God.
Isaiah 10:22	For though thy people Israel be as the sand of the sea, [yet] a remnant of them shall return: the consumption decreed shall overflow with righteousness.
Isaiah 10:23	For the Lord GOD of hosts shall make a consumption, even determined, in the midst of all the land.
Isaiah 10:24	Therefore thus saith the Lord GOD of hosts, O my people that dwellest in Zion, be not afraid of the Assyrian: he shall smite thee with a rod, and shall lift up his staff against thee, after the manner of Egypt.
Isaiah 10:25	For yet a very little while, and the indignation shall cease, and mine anger in their destruction.
Isaiah 10:26	And the LORD of hosts shall stir up a scourge for him according to the slaughter of Midian at the rock of Oreb: and [as] his rod [was] upon the sea, so shall he lift it up after the manner of Egypt.
Isaiah 10:27	And it shall come to pass in that day, [that] his burden shall be taken away from off thy shoulder, and his yoke from off thy neck, and the yoke shall be destroyed because of the anointing.
Isaiah 10:28	He is come to Aiath, he is passed to Migron; at Michmash he hath laid up his carriages:
Isaiah 10:29	They are gone over the passage: they have taken up their lodging at Geba; Ramah is afraid; Gibeah of Saul is fled.
Isaiah 10:30	Lift up thy voice, O daughter of Gallim: cause it to be heard unto Laish, O poor Anathoth.
Isaiah 10:31	Madmenah is removed; the inhabitants of Gebim gather themselves to flee.
Isaiah 10:32	As yet shall he remain at Nob that day: he shall shake his hand [against] the mount of the daughter of Zion, the hill of Jerusalem.
Isaiah 10:33	Behold, the Lord, the LORD of hosts, shall lop the bough with terror: and the high ones of stature [shall be] hewn down, and the haughty shall be humbled.
Isaiah 10:34	And he shall cut down the thickets of the forest with iron, and Lebanon shall fall by a mighty one.
Isaiah 11:1	And there shall come forth a rod out of the stem of Jesse, and a Branch shall grow out of his roots:
Isaiah 11:2	And the spirit of the LORD shall rest upon him, the spirit of wisdom and understanding, the spirit of counsel and might, the spirit of knowledge and of the fear of the LORD;
Isaiah 11:3	And shall make him of quick understanding in the fear of the LORD: and he shall not judge after the sight of his eyes, neither reprove after the hearing of his ears:
Isaiah 11:4	But with righteousness shall he judge the poor, and reprove with equity for the meek of the earth: and he shall smite the earth with the rod of his mouth, and with the breath of his lips shall he slay the wicked.
Isaiah 11:5	And righteousness shall be the girdle of his loins, and faithfulness the girdle of his reins.
Isaiah 11:6	The wolf also shall dwell with the lamb, and the leopard shall lie down with the kid; and the calf and the young lion and the fatling together; and a little child shall lead them.
Isaiah 11:7	And the cow and the bear shall feed; their young ones shall lie down together: and the lion shall eat straw like the ox.
Isaiah 11:8	And the sucking child shall play on the hole of the asp, and the weaned child shall put his hand on the cockatrice’ den.
Isaiah 11:9	They shall not hurt nor destroy in all my holy mountain: for the earth shall be full of the knowledge of the LORD, as the waters cover the sea.
Isaiah 11:10	And in that day there shall be a root of Jesse, which shall stand for an ensign of the people; to it shall the Gentiles seek: and his rest shall be glorious.
Isaiah 11:11	And it shall come to pass in that day, [that] the Lord shall set his hand again the second time to recover the remnant of his people, which shall be left, from Assyria, and from Egypt, and from Pathros, and from Cush, and from Elam, and from Shinar, and from Hamath, and from the islands of the sea.
Isaiah 11:12	And he shall set up an ensign for the nations, and shall assemble the outcasts of Israel, and gather together the dispersed of Judah from the four corners of the earth.
Isaiah 11:13	The envy also of Ephraim shall depart, and the adversaries of Judah shall be cut off: Ephraim shall not envy Judah, and Judah shall not vex Ephraim.
Isaiah 11:14	But they shall fly upon the shoulders of the Philistines toward the west; they shall spoil them of the east together: they shall lay their hand upon Edom and Moab; and the children of Ammon shall obey them.
Isaiah 11:15	And the LORD shall utterly destroy the tongue of the Egyptian sea; and with his mighty wind shall he shake his hand over the river, and shall smite it in the seven streams, and make [men] go over dryshod.
Isaiah 11:16	And there shall be an highway for the remnant of his people, which shall be left, from Assyria; like as it was to Israel in the day that he came up out of the land of Egypt.
Isaiah 12:1	And in that day thou shalt say, O LORD, I will praise thee: though thou wast angry with me, thine anger is turned away, and thou comfortedst me.
Isaiah 12:2	Behold, God [is] my salvation; I will trust, and not be afraid: for the LORD JEHOVAH [is] my strength and [my] song; he also is become my salvation.
Isaiah 12:3	Therefore with joy shall ye draw water out of the wells of salvation.
